"Range Group #(DO NOT CHANGE)","Index in Range Group(DO NOT CHANGE)","Range #(DO NOT CHANGE)","Range Name", "Start Call Number 1","End Call Number 1","Location 1", "Start Call Number 2","End Call Number 2","Location 2","Etc"
"301","0","63","1A","[ERC] PZ7 .A174 HO","[ERC] PZ7 .M385 WH","ERC - Picture Books (2nd)"
"302","0","64","2A","[ERC] PZ7 .M1687 TO","[ERC] PZ74.9.F85CO","ERC - Picture Books (2nd)"
"303","0","65","3A","[ERC] PZ5 .A495 1994","[ERC] PZ7 .C962 RO 2005","ERC-Y/A Books (2nd)"
"303","1","66","3B","[ERC] PZ7 W15655 OUT 2011","[ERC] PZ9.9 Z","ERC-Y/A Books (2nd)","[ERC] PZ10.0 A","[ERC] PZ10.3 H72 MI 1979","ERC-Y/A Books (2nd)"
"304","0","67","4A","[ERC] PZ7 .D138 SWE 2016","[ERC] PZ7 .I37 D43 2010","ERC-Y/A Books (2nd)"
"304","1","68","4B","[ERC] PZ7.R812185 YEL 2006","[ERC] PZ7.V8877 BL 2005","ERC-Y/A Books (2nd)"
"305","0","69","5A","[ERC] PZ7 .J1529 PAP 2015","[ERC] PZ7.M9955 SH 2011","ERC-Y/A Books (2nd)"
"305","1","70","5B","[ERC] PZ7.N1243 ST 2001","[ERC] PZ7.R79835 HARG 2007","ERC-Y/A Books (2nd)"
"306","0","71","6A","[ERC] PP562 (KIT)","[ERC] QA20 .G35 B565 2005 (MERRIMACK ONLY)","ERC-Games/Kits (2nd)"
"306","1","72","6B","[ERC] QM311 (GAME/KIT) MERRIMACK ONLY","[ERC] LB1140 .35 (MERRIMACK ONLY)","ERC-Games/Kits (2nd)"
"306","2","73","8A, 8B","[ERC] GB58.L36 2005 (OVERSIZE KIT)","[ERC] LB1050 (MERRIMACK ONLY)","ERC-Games/Kits (2nd)"
"306","3","74","8A, 8B","[ERC] GB58.L36 2005 (OVERSIZE KIT)","[ERC] LB1050 (MERRIMACK ONLY)","ERC-Games/Kits (2nd)"
"306","4","75","10A","[ERC] AG6 .E13 2003","[ERC] E125.N9 W35 2003","ERC - Stacks (2nd)"
"306","5","76","10B","[ERC] G614 .R48 2006","[ERC] LB1027.25.S73 W47 1992","ERC - Stacks (2nd)"
"306","6","77","12A","[ERC] LB1576 .A399 2009","[ERC] LC4181 .Z56 2002","ERC - Stacks (2nd)"
